year,college_graduate,college_level,elementary_graduate,elementary_level,high_school_graduate,high_school_level,no_formal_education,non-formal_education,not_reported_/_no_response,not_of_schooling_age,post_graduate,post_graduate_level,vocational_graduate,vocational_level,14 - Below,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - Above,administrative_workers,clerical_workers,"equipment_operators,_&_laborers",housewives,members_of_the_armed_forces,minors_(below_7_years_old),no_occupation_reported,out_of_school_youth,"prof'l,_tech'l,_&_related_workers",refugees,retirees,sales_workers,service_workers,students,workers_&_fishermen,albania,andorra,angola,anguilla,antigua_and_barbuda,argentina,armenia,aruba,australia,austria,bahamas,bahrain,bangladesh,barbados,belgium,bermuda,bolivia,bosnia_and_herzegovina,brazil,british_virgin_islands,brunei_darussalam,bulgaria,cameroon,canada,cayman_islands,channel_island,chile,china_(p.r.o.c.),cocos_(keeling)_island,colombia,costa_rica,croatia,cyprus,czech_republic,democratic_kampuchea,democratic_republic_of_the_congo_(zaire),denmark,dominican_republic,ecuador,egypt,estonia,ethiopia,falkland_islands_(malvinas),faroe_islands,fiji,finland,france,french_polynesia,gabon,georgia,germany,ghana,gibraltar,greece,greenland,hongkong,hungary,iceland,india,indonesia,iran,iraq,ireland,isle_of_man,israel,italy,japan,jordan,kazakhstan,kenya,kiribati,kuwait,latvia,lebanon,leichtenstein,lesotho,liberia,libya,lithuania,luxembourg,macau,macedonia,malaysia,maldives,malta,marshall_islands,mauritius,mexico,midway_island,moldova,monaco,morocco,mozambique,myanmar_(burma),namibia,nepal,netherlands,netherlands_antilles,new_caledonia,new_zealand,nigeria,norway,oman,pacific_islands,pakistan,palau,panama,papua_new_guinea,peru,poland,portugal,puerto_rico,qatar,reunion,romania,russian_federation_/_ussr,saint_lucia,san_marino,saudi_arabia,senegal,seychelles,singapore,sint_maarten,slovak_republic,slovenia,solomon_islands,south_africa,south_korea,spain,sri_lanka,sudan,sweden,switzerland,syria,taiwan_(roc),thailand,trinidad_and_tobago,tunisia,turkey,turks_and_caicos_islands,uganda,ukraine,united_arab_emirates,united_kingdom,united_republic_of_tanzania,united_states_of_america,uruguay,uzbekistan,vanuatu,venezuela,vietnam,wake_island,yemen,yugoslavia_(serbia_&_montenegro),zambia,male,female,single,married,widower,separated,divorced,not_reported
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9588,4712,5846,5919,4048,2445,1799,1543,2142,2955,3068,2653,2149,451,2475,1780,11202,858,3625,5204,0,4821,0,1718,1628,2381,10486,2238,0,0,0,0,0,0,0,0,2752,0,0,0,1,0,4,0,0,0,4,0,0,0,0,5226,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,16,0,0,0,45,0,0,1,0,19,0,0,0,1,1,0,1,0,0,4,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,12,2,11,0,0,1,0,0,5,0,0,1,8,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,14,8,3,0,7,10,0,18,0,0,0,0,0,0,0,5,88,0,40307,0,0,0,1,0,0,0,0,0,20350,28517,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9100,4650,5956,6643,5357,3488,2760,2145,2402,2985,3223,2630,2614,360,3992,2758,12469,504,4419,5540,0,5509,0,2056,1865,2213,10374,1894,0,0,0,0,0,0,0,0,2931,6,0,0,0,0,13,0,0,0,0,0,2,0,0,4898,0,0,0,3,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,26,0,0,0,263,0,0,1,0,45,0,1,0,10,0,0,1,0,0,8,310,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,1,25,2,25,0,0,5,0,0,1,2,0,1,16,0,0,0,0,0,0,5,0,0,38,0,0,0,0,0,7,35,1,0,30,18,0,30,19,0,0,0,0,1,0,3,682,0,44438,0,0,0,1,0,0,0,0,0,21752,32201,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8433,4498,5164,5323,3659,2409,1678,1437,1679,2364,2461,1737,1639,324,2796,1951,9025,96,3826,4620,0,3928,0,1327,1414,1614,9773,1787,0,0,0,0,0,1,0,0,2608,4,0,1,0,0,15,0,0,0,0,0,0,0,0,3946,0,0,1,6,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,4,27,0,0,0,282,0,0,1,0,51,0,2,0,3,0,0,0,0,1,11,140,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,41,0,46,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,11,0,0,16,0,0,0,2,0,2,18,0,0,20,16,0,0,4,0,0,0,0,0,0,2,346,0,34794,0,0,0,0,0,0,0,0,0,17816,24665,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8199,4359,5035,5348,3956,2695,1703,1586,1601,2007,2109,1497,1456,320,3131,1992,8730,57,3919,5841,0,3791,0,1022,1326,1075,8872,1475,0,0,0,0,0,0,0,0,2915,10,0,1,1,0,20,0,0,0,0,0,4,0,0,2463,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,29,0,0,0,346,0,0,0,0,110,0,0,1,12,1,3,0,0,1,19,137,4,0,0,0,4,0,0,0,0,1,1,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,55,4,74,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,14,0,0,29,0,0,0,0,0,6,57,0,0,47,26,0,27,7,0,0,0,0,0,0,7,364,0,34682,0,0,0,1,0,0,0,0,0,16970,24581,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9154,4822,5196,5489,4264,2845,1665,1613,1800,2344,2458,1809,1810,366,2972,1848,9247,36,4348,7566,0,3869,0,1103,1819,1037,9575,1483,0,0,0,0,0,0,0,0,3458,4,0,4,0,0,23,0,0,0,0,0,2,0,0,2097,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,34,0,0,0,213,0,0,1,0,17,0,0,0,3,2,0,0,0,0,10,126,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,52,0,110,1,0,0,0,0,4,0,1,0,5,1,0,0,0,0,0,10,0,0,30,0,0,0,3,0,6,34,0,0,20,4,0,11,5,0,0,0,0,0,0,4,276,0,38653,0,0,0,0,0,0,0,0,0,18409,26860,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10524,5520,5512,5809,4836,3179,1855,1590,1840,2339,2576,1867,1891,369,3394,1822,8695,32,4750,8755,0,4147,0,1399,2109,1038,11439,1389,0,0,0,0,0,0,0,0,4374,4,0,0,0,0,18,0,0,0,0,0,0,0,0,3206,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,88,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,37,0,95,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,2,0,0,12,0,0,0,0,1,0,11,0,0,34,16,0,3,0,0,0,0,0,0,0,4,658,0,40650,0,0,0,0,0,0,0,0,0,20408,28930,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12407,5941,5733,6946,6359,4069,2334,1742,1943,2436,2554,1990,1896,420,4605,1754,9315,73,5382,9998,0,4899,0,1691,2825,874,13409,1105,0,0,0,0,0,0,0,0,8983,4,0,1,0,0,8,0,0,0,0,0,0,0,0,5757,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,35,0,0,0,58,0,0,0,0,2,0,0,0,2,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,45,0,84,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,30,12,0,0,0,0,0,0,0,0,0,2,436,0,40813,0,0,0,0,0,0,0,0,0,23921,32429,0,0,0,0,0,0
1988,15614,8451,3012,8847,5724,7291,459,0,0,5514,327,527,1415,839,13271,6237,5440,6899,6561,4379,2770,1981,1970,2384,2389,1848,1867,678,2157,2281,9720,315,5683,8769,132,7689,1,1417,2184,956,14811,1227,0,0,0,0,0,0,0,0,9319,4,0,0,0,0,8,0,0,0,0,0,2,0,0,6602,0,0,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,37,0,0,0,83,0,0,3,0,6,0,0,0,1,0,0,1,0,0,32,62,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,11,1,53,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,1,56,2,0,25,7,0,1,1,0,0,0,0,0,0,5,256,0,41378,0,0,0,1,0,0,0,0,0,24625,33395,31989,23530,2133,134,143,91
1989,14776,8533,2721,7899,5625,6967,1254,0,5,4792,380,544,1433,816,12207,5620,5735,7076,6731,4265,2746,1897,1973,2095,2022,1602,1762,480,1681,2236,9929,309,5114,9407,222,6861,1,1716,2251,1028,13429,1081,0,0,0,0,0,0,0,0,5943,15,0,1,0,0,20,0,0,0,0,0,1,0,0,8040,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,36,0,0,0,135,0,0,3,0,22,0,0,2,0,0,0,3,0,1,109,1271,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,28,2,0,55,0,63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,4,120,0,0,35,16,0,5,2,0,0,0,0,0,0,11,248,0,39524,0,0,0,0,0,0,0,0,0,22807,32938,30338,23203,1858,98,143,105
1990,16396,9848,3241,8370,6854,8198,1208,0,0,4999,415,647,1858,1115,12053,5954,7582,8810,7546,4503,3018,2006,2308,2542,2601,2042,2176,430,1807,2476,11520,285,5051,12684,213,7858,0,1855,2715,1331,13641,1283,0,0,0,0,1,0,0,0,5847,18,0,9,3,0,56,0,0,0,0,0,5,0,0,8400,1,0,0,2,0,0,0,0,2,0,1,0,56,0,0,2,0,1,0,0,0,12,39,0,1,0,334,0,0,7,0,24,0,2,5,0,0,1,4,1,23,160,3569,0,0,0,1,4,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0,0,47,0,0,50,1,69,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,13,0,1,1,0,0,0,0,1,4,94,0,0,59,54,0,25,12,0,1,0,0,0,0,35,291,0,43781,0,0,0,0,0,1,1,0,0,25400,37749,33477,27005,2299,127,194,47
