year,Autonomous Region in Muslim Mindanao (ARMM),Cordillera Administrative Region (CAR),National Capital Region (NCR),Region I - Ilocos Region,Region II - Cagayan Valley,Region III - Central Luzon,Region IV A - CALABARZON,Region IV B - MIMAROPA,Region IX - Zamboanga Peninsula,Region V - Bicol Region,Region VI - Western Visayas,Region VII - Central Visayas,Region VIII - Eastern Visayas,Region X - Northern Mindanao,Region XI - Davao Region,Region XII - SOCCSKSARGEN,Region XIII - Caraga
1988,7,1064,25370,5748,701,12087,6438,227,214,766,1434,2295,558,422,415,118,148
1989,15,839,24543,5737,705,11198,6481,211,185,609,1270,2276,536,389,427,176,144
1990,9,935,27170,6949,766,12266,7512,249,250,812,1771,2599,605,479,405,195,172
1991,12,952,27075,6870,811,11559,7441,179,259,815,1598,2754,643,586,544,171,194
1992,11,1027,26539,7007,872,12433,7623,230,322,842,1792,3036,710,623,603,267,217
1993,16,1089,28013,7492,962,10849,8119,313,385,873,2097,3346,830,792,715,272,226
1994,11,1132,26343,7624,1146,10510,8397,281,424,892,1970,3021,698,765,783,265,269
1995,8,977,22788,7078,1005,9502,7325,247,270,735,1533,2419,626,657,617,241,214
1996,20,1112,23411,7959,1230,10245,8261,282,385,847,1700,2724,694,739,722,310,272
1997,5,1013,20369,6683,1047,8951,7577,221,377,800,1604,2740,677,754,729,254,258
1998,3,739,14358,4984,753,6280,5411,227,251,604,1189,2064,532,583,572,272,187
1999,18,889,14548,4889,848,6456,5574,197,316,672,1141,2354,567,683,823,248,284
2000,29,1187,18173,6146,796,7867,7390,291,379,767,1572,2901,627,908,1361,342,295
2001,14,1078,18338,5603,891,7805,8364,275,380,837,1730,3231,587,884,1388,370,279
2002,18,1349,19313,5970,1031,8740,8783,281,540,940,2122,4161,798,1153,1728,419,372
2003,17,1285,18047,5999,1007,8215,8461,295,509,871,2063,3738,713,1146,1941,467,361
2004,13,1555,20578,7364,1263,9648,10019,340,585,1019,2584,4339,940,1514,2139,557,467
2005,38,1414,22485,7035,1168,10152,11325,395,626,1106,2464,4912,907,1547,2300,645,506
2006,26,1831,25861,7857,1640,11965,13500,378,1022,1438,3358,6256,1253,2260,2706,877,739
2007,32,1514,24744,8387,1528,12546,13542,412,805,1294,2807,5398,1304,1968,2763,891,664
2008,19,1427,21053,7441,1416,10898,12611,402,685,1120,2339,4391,1241,1638,2663,800,648
2009,13,1587,22063,8903,1906,12927,15022,544,789,1363,2573,4917,1331,1808,2367,797,715
2010,26,2021,22370,10899,2100,14168,16657,641,677,1236,3012,5134,1355,1735,2461,870,698
2011,18,2133,20968,9569,2115,13280,16672,682,875,1489,3013,5250,1301,1817,2684,833,702
2012,33,2007,20931,8906,2111,13427,15670,702,956,1476,3344,5711,1462,2062,3197,884,759
2013,16,1829,19277,8322,1876,12624,15562,645,817,1441,2891,5281,1399,1885,2689,927,739
2014,22,1918,19463,8738,2043,13196,15645,603,822,1507,3551,5383,1435,1865,2823,958,717
2015,41,2906,21236,10554,3363,15199,16620,723,988,1792,4119,6149,1621,2170,3449,1221,846
2016,21,2510,20655,9480,2888,14469,16258,724,967,1898,3617,6296,1621,2261,3434,1307,947
2017,21,2324,17613,9271,3012,12598,14298,708,838,1682,3223,5778,1407,2045,3104,1080,776
2018,31,2089,16064,8364,2361,11772,12832,626,879,1604,3498,5429,1352,1988,2986,1099,676
2019,35,1738,14081,6831,2110,10478,11204,608,787,1454,2833,5018,1373,1949,2872,1031,751
2020,8,401,3416,1563,464,2552,2877,142,199,338,652,1221,301,414,773,218,146
2021,11,409,3754,1389,462,2577,2994,132,194,332,695,1327,295,512,884,298,214
2022,38,844,7897,3475,1107,6561,7697,382,556,932,1907,3560,927,1213,1815,676,540
