Country Name,Country Code,Year,Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Life expectancy at birth, total (years)",Maternal leave benefits (% of wages paid in covered period),"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)",Prevalence of hypertension (% of adults ages 30-79),Treatment for hypertension (% of adults ages 30-79 with hypertension),"Unemployment, total (% of total labor force)",GDP
Albania,ALB,2011,2.8,2.39800286,78.303,65.0,53.731,107.27,41.6,28.0,13.481,12973755875.0
Algeria,DZA,2011,7.0,3.40776706,74.383,100.0,83.949,103.236,37.3,37.0,9.96,218332000000.0
Angola,AGO,2011,2.9,1.71321774,58.093,100.0,253.571,328.921,39.3,18.7,16.77,111790000000.0
Argentina,ARG,2011,5.5,5.68117285,76.1,100.0,83.781,150.593,44.5,41.4,7.18,530158000000.0
Armenia,ARM,2011,8.5,1.6728667,73.81707317,100.0,76.635,204.84,46.4,28.1,18.884,10142111825.0
Austria,AUT,2011,6.6,7.28789806,80.98292683,100.0,49.353,94.356,38.6,51.7,4.637,428955000000.0
Azerbaijan,AZE,2011,2.8,0.94998968,70.565,100.0,96.821,202.224,39.9,40.8,5.42,65952796428.0
Bangladesh,BGD,2011,10.5,0.4823136,68.499,100.0,139.262,192.405,27.8,36.2,3.736,128607000000.0
Belarus,BLR,2011,8.0,3.08841538,70.55365854,100.0,114.383,336.426,50.2,45.0,6.022,61762382328.0
Belgium,BEL,2011,4.8,7.89083242,80.58536585,77.0,59.462,100.409,34.5,56.9,7.14,527197000000.0
Benin,BEN,2011,2.0,0.65150005,58.462,100.0,263.306,288.789,34.7,19.4,2.647,10693321364.0
Bolivia,BOL,2011,6.6,3.02061009,66.282,100.0,166.76,244.215,27.5,46.4,2.255,23963164697.0
Bosnia and Herzegovina,BIH,2011,7.5,6.21122313,76.963,60.0,65.102,133.738,44.6,43.8,27.582,18644233537.0
Botswana,BWA,2011,10.8,3.60456705,59.715,50.0,340.736,423.852,44.8,34.0,18.054,15110643612.0
Brazil,BRA,2011,10.1,3.46567941,74.047,100.0,96.762,200.627,46.1,55.7,7.578,2616160000000.0
Bulgaria,BGR,2011,6.7,3.84521842,74.16341463,90.0,85.702,194.111,45.2,47.0,11.26,57681293007.0
Burkina Faso,BFA,2011,3.0,1.34620178,57.001,100.0,250.431,317.001,32.5,15.1,3.827,12080295978.0
Burundi,BDI,2011,2.7,3.47107577,57.804,100.0,286.337,336.939,36.8,18.9,1.602,2235820809.0
Cambodia,KHM,2011,2.9,1.02417195,67.869,50.0,162.269,225.549,24.0,32.9,0.577,16032622024.0
Cameroon,CMR,2011,6.1,0.5729565,57.482,100.0,292.623,342.34,36.3,14.8,3.987,30630910495.0
Canada,CAN,2011,8.4,7.31575775,81.48268293,35.0,52.671,82.916,24.3,72.7,7.637,1793330000000.0
Chad,TCD,2011,3.9,0.61899716,50.426,50.0,361.862,400.941,39.5,17.7,0.905,16685349674.0
Chile,CHL,2011,9.5,3.2064569,79.236,100.0,64.173,113.262,39.1,54.5,7.277,251383000000.0
China,CHN,2011,8.8,2.33301282,75.889,100.0,67.374,127.107,29.4,37.4,4.55,7671760000000.0
Colombia,COL,2011,9.8,4.98383522,75.18,100.0,77.561,158.119,32.0,47.2,10.288,334966000000.0
"Congo, Dem. Rep.",COD,2011,3.1,0.34667644,56.911,67.0,275.055,324.937,34.0,19.5,4.315,25839749199.0
"Congo, Rep.",COG,2011,5.5,0.65133953,62.286,100.0,268.502,308.195,41.0,17.7,19.464,15655383577.0
Costa Rica,CRI,2011,9.6,5.70106649,79.624,100.0,61.805,115.925,38.9,60.8,9.518,42762613699.0
Cote d'Ivoire,CIV,2011,4.9,0.57983553,55.972,100.0,363.207,399.84,38.8,16.5,7.135,36693710801.0
Croatia,HRV,2011,5.2,6.26343536,76.77560976,100.0,61.701,144.296,47.5,48.7,13.678,62903737380.0
Czechia,CZE,2011,5.3,6.36668682,77.87317073,70.0,59.481,131.678,42.0,57.7,6.712,231429000000.0
Denmark,DNK,2011,5.6,8.7352457,79.8,50.0,59.047,97.155,40.5,26.3,7.769,344316000000.0
Dominican Republic,DOM,2011,8.1,2.72521138,72.496,100.0,109.748,203.206,48.6,51.4,6.087,57948261616.0
Ecuador,ECU,2011,6.6,3.15536475,75.179,100.0,92.493,162.109,25.7,47.6,3.458,78986648000.0
"Egypt, Arab Rep.",EGY,2011,16.6,1.47460115,69.232,100.0,131.057,219.497,38.0,42.5,11.849,235990000000.0
El Salvador,SLV,2011,9.4,4.79892349,71.192,100.0,122.849,279.776,32.0,57.0,4.297,20283780000.0
Estonia,EST,2011,7.0,4.50477123,76.22926829,100.0,70.866,203.78,41.8,36.6,12.328,23303915795.0
