year,albania,andorra,angola,anguilla,antigua_and_barbuda,argentina,armenia,aruba,australia,austria,bahamas,bahrain,bangladesh,barbados,belgium,bermuda,bolivia,bosnia_and_herzegovina,brazil,british_virgin_islands,brunei_darussalam,bulgaria,cameroon,canada,cayman_islands,channel_island,chile,china_(p.r.o.c.),cocos_(keeling)_island,colombia,costa_rica,croatia,cyprus,czech_republic,democratic_kampuchea,democratic_republic_of_the_congo_(zaire),denmark,dominican_republic,ecuador,egypt,estonia,ethiopia,falkland_islands_(malvinas),faroe_islands,fiji,finland,france,french_polynesia,gabon,georgia,germany,ghana,gibraltar,greece,greenland,hongkong,hungary,iceland,india,indonesia,iran,iraq,ireland,isle_of_man,israel,italy,japan,jordan,kazakhstan,kenya,kiribati,kuwait,latvia,lebanon,leichtenstein,lesotho,liberia,libya,lithuania,luxembourg,macau,macedonia,malaysia,maldives,malta,marshall_islands,mauritius,mexico,midway_island,moldova,monaco,morocco,mozambique,myanmar_(burma),namibia,nepal,netherlands,netherlands_antilles,new_caledonia,new_zealand,nigeria,norway,oman,pacific_islands,pakistan,palau,panama,papua_new_guinea,peru,poland,portugal,puerto_rico,qatar,reunion,romania,russian_federation_/_ussr,saint_lucia,san_marino,saudi_arabia,senegal,seychelles,singapore,sint_maarten,slovak_republic,slovenia,solomon_islands,south_africa,south_korea,spain,sri_lanka,sudan,sweden,switzerland,syria,taiwan_(roc),thailand,trinidad_and_tobago,tunisia,turkey,turks_and_caicos_islands,uganda,ukraine,united_arab_emirates,united_kingdom,united_republic_of_tanzania,united_states_of_america,uruguay,uzbekistan,vanuatu,venezuela,vietnam,wake_island,yemen,yugoslavia_(serbia_&_montenegro),zambia
1981,0,0,0,0,0,0,0,0,2752,0,0,0,1,0,4,0,0,0,4,0,0,0,0,5226,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,16,0,0,0,45,0,0,1,0,19,0,0,0,1,1,0,1,0,0,4,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,12,2,11,0,0,1,0,0,5,0,0,1,8,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,14,8,3,0,7,10,0,18,0,0,0,0,0,0,0,5,88,0,40307,0,0,0,1,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,2931,6,0,0,0,0,13,0,0,0,0,0,2,0,0,4898,0,0,0,3,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,26,0,0,0,263,0,0,1,0,45,0,1,0,10,0,0,1,0,0,8,310,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,1,25,2,25,0,0,5,0,0,1,2,0,1,16,0,0,0,0,0,0,5,0,0,38,0,0,0,0,0,7,35,1,0,30,18,0,30,19,0,0,0,0,1,0,3,682,0,44438,0,0,0,1,0,0,0,0,0
1983,0,0,0,0,0,1,0,0,2608,4,0,1,0,0,15,0,0,0,0,0,0,0,0,3946,0,0,1,6,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,4,27,0,0,0,282,0,0,1,0,51,0,2,0,3,0,0,0,0,1,11,140,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,41,0,46,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,11,0,0,16,0,0,0,2,0,2,18,0,0,20,16,0,0,4,0,0,0,0,0,0,2,346,0,34794,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,2915,10,0,1,1,0,20,0,0,0,0,0,4,0,0,2463,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,29,0,0,0,346,0,0,0,0,110,0,0,1,12,1,3,0,0,1,19,137,4,0,0,0,4,0,0,0,0,1,1,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,55,4,74,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,14,0,0,29,0,0,0,0,0,6,57,0,0,47,26,0,27,7,0,0,0,0,0,0,7,364,0,34682,0,0,0,1,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,3458,4,0,4,0,0,23,0,0,0,0,0,2,0,0,2097,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,34,0,0,0,213,0,0,1,0,17,0,0,0,3,2,0,0,0,0,10,126,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,52,0,110,1,0,0,0,0,4,0,1,0,5,1,0,0,0,0,0,10,0,0,30,0,0,0,3,0,6,34,0,0,20,4,0,11,5,0,0,0,0,0,0,4,276,0,38653,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,4374,4,0,0,0,0,18,0,0,0,0,0,0,0,0,3206,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27,0,0,0,88,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,37,0,95,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,2,0,0,12,0,0,0,0,1,0,11,0,0,34,16,0,3,0,0,0,0,0,0,0,4,658,0,40650,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,8983,4,0,1,0,0,8,0,0,0,0,0,0,0,0,5757,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,35,0,0,0,58,0,0,0,0,2,0,0,0,2,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,45,0,84,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,30,12,0,0,0,0,0,0,0,0,0,2,436,0,40813,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,9319,4,0,0,0,0,8,0,0,0,0,0,2,0,0,6602,0,0,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,37,0,0,0,83,0,0,3,0,6,0,0,0,1,0,0,1,0,0,32,62,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,11,1,53,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,1,56,2,0,25,7,0,1,1,0,0,0,0,0,0,5,256,0,41378,0,0,0,1,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,5943,15,0,1,0,0,20,0,0,0,0,0,1,0,0,8040,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,36,0,0,0,135,0,0,3,0,22,0,0,2,0,0,0,3,0,1,109,1271,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,28,2,0,55,0,63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,4,120,0,0,35,16,0,5,2,0,0,0,0,0,0,11,248,0,39524,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,1,0,0,0,5847,18,0,9,3,0,56,0,0,0,0,0,5,0,0,8400,1,0,0,2,0,0,0,0,2,0,1,0,56,0,0,2,0,1,0,0,0,12,39,0,1,0,334,0,0,7,0,24,0,2,5,0,0,1,4,1,23,160,3569,0,0,0,1,4,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0,0,47,0,0,50,1,69,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,13,0,1,1,0,0,0,0,1,4,94,0,0,59,54,0,25,12,0,1,0,0,0,0,35,291,0,43781,0,0,0,0,0,1,1,0,0
